,index,timestamp,coursename,degree,heard_hs_counselor,heard_it_website,heard_ccm_admissions,heard_ccm_advisor,heard_employer,interest_level,gender,race,age,comp_int
31,31,2020/09/09 7:59:40 PM EST,CMP 126 Computer Technology and Applications,Political Science,No,No,No,Yes,No,3.0,Man,White/Caucasian,19-20,
32,32,2020/09/09 9:03:54 PM EST,CMP 101 Computer Information Literacy,Hospitality Management ,Don't recall,Yes,Yes,Don't recall,Don't recall,3.0,Woman,White/Caucasian,19-20,
33,33,2020/09/09 9:28:12 PM EST,CMP 126 Computer Technology and Applications,Not in a degree program,No,No,No,No,No,2.0,Woman,White/Caucasian,18 and younger,
34,34,2020/09/10 8:45:28 AM EST,CMP 101 Computer Information Literacy,Nursing,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,1.0,Woman,White/Caucasian,21-24,
35,35,2020/09/10 10:01:42 AM EST,CMP 101 Computer Information Literacy,Liberal Arts,No,No,No,No,No,1.0,Prefer not to say,Choose not to reply,21-24,
36,36,2020/09/10 10:03:00 AM EST,CMP 101 Computer Information Literacy,Nursing,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,1.0,Woman,White/Caucasian,21-24,
37,37,2020/09/10 12:15:00 PM EST,CMP 126 Computer Technology and Applications,Hospitality,No,No,Yes,Yes,No,1.0,Woman,White/Caucasian,19-20,
38,38,2020/09/10 1:23:55 PM EST,CMP 101 Computer Information Literacy,Hospitality ,No,No,Yes,Yes,No,2.0,Woman,White/Caucasian,19-20,
39,39,2020/09/10 2:04:32 PM EST,CMP 126 Computer Technology and Applications,Broadcasting Arts and Technology,Yes,No,Yes,Yes,No,3.0,Woman,Multi-racial,18 and younger,
40,40,2020/09/10 2:09:22 PM EST,CMP 101 Computer Information Literacy,Not in a degree program,No,No,No,No,No,2.0,Man,White/Caucasian,19-20,
41,41,2020/09/10 2:24:40 PM EST,CMP 126 Computer Technology and Applications,Communication,No,No,No,No,No,3.0,Woman,White/Caucasian,21-24,
42,42,2020/09/10 5:11:39 PM EST,CMP 126 Computer Technology and Applications,Early Childhood Education,No,Yes,Yes,Yes,No,1.0,Woman,White/Caucasian,19-20,
43,43,2020/09/10 5:34:37 PM EST,CMP 126 Computer Technology and Applications,Biology,No,No,No,No,No,3.0,Woman,White/Caucasian,25-34,
44,44,2020/09/10 8:18:04 PM EST,CMP 126 Computer Technology and Applications,Early Childhood Education,No,No,No,No,No,4.0,Woman,White/Caucasian,19-20,
45,45,2020/09/10 11:13:37 PM EST,CMP 126 Computer Technology and Applications,Musical Theatre,No,No,No,Yes,No,2.0,Woman,White/Caucasian,18 and younger,
46,46,2020/09/11 2:48:26 AM EST,CMP 101 Computer Information Literacy,Nursing,Don't recall,Don't recall,Yes,Yes,No,3.0,Woman,White/Caucasian,21-24,
47,47,2020/09/11 12:13:44 PM EST,CMP 101 Computer Information Literacy,Humanities Social Sciences,Yes,No,Don't recall,Yes,No,2.0,Woman,White/Caucasian,18 and younger,
48,48,2020/09/11 2:17:36 PM EST,CMP 126 Computer Technology and Applications,Liberal Arts,No,No,No,No,No,3.0,Woman,White/Caucasian,19-20,
49,49,2020/09/11 5:45:10 PM EST,CMP 126 Computer Technology and Applications,Liberal Arts & Sciences,No,No,No,No,No,3.0,Man,White/Caucasian,19-20,
50,50,2020/09/12 4:52:43 PM EST,CMP 126 Computer Technology and Applications,30 College credit program,No,No,Yes,Yes,No,3.0,Man,White/Caucasian,21-24,
51,51,2020/09/12 5:22:41 PM EST,CMP 135 Computer Concepts with Applications,Journalism,No,No,No,Don't recall,Don't recall,3.0,Man,White/Caucasian,19-20,
52,52,2020/09/12 6:55:43 PM EST,CMP 126 Computer Technology and Applications,Child and Family Studies,No,No,Yes,Yes,No,2.0,,Hispanic or Latino,19-20,
53,53,2020/09/12 8:16:56 PM EST,CMP 135 Computer Concepts with Applications,Math education ,No,No,No,No,No,2.0,Woman,White/Caucasian,18 and younger,
54,54,2020/09/13 6:38:40 AM EST,CMP 126 Computer Technology and Applications,Humanities,No,No,No,Yes,No,1.0,Man,White/Caucasian,19-20,
55,55,2020/09/13 12:35:58 PM EST,CMP 101 Computer Information Literacy,Nursing,No,No,No,Yes,Yes,2.0,Woman,White/Caucasian,21-24,
56,56,2020/09/13 3:13:27 PM EST,CMP 126 Computer Technology and Applications,Psychology ,No,No,No,No,No,1.0,Woman,White/Caucasian,21-24,
57,57,2020/09/13 6:38:03 PM EST,CMP 101 Computer Information Literacy,Liberal Arts,No,No,Yes,No,No,2.0,Man,Black/African American,19-20,
58,58,2020/09/13 7:48:18 PM EST,CMP 126 Computer Technology and Applications,liberal arts/humanitites,No,No,No,No,No,1.0,Woman,White/Caucasian,19-20,
59,59,2020/09/13 7:59:00 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,Don't recall,Don't recall,Don't recall,Yes,Don't recall,2.0,Man,White/Caucasian,25-34,
60,60,2020/09/13 9:46:15 PM EST,CMP 135 Computer Concepts with Applications,Exercise Science,No,No,No,Yes,No,1.0,Man,Hispanic or Latino,19-20,
61,61,2020/09/14 10:26:46 AM EST,CMP 101 Computer Information Literacy,Criminal Justice,No,No,No,No,No,2.0,Man,White/Caucasian,19-20,
62,62,2020/09/14 11:21:19 AM EST,CMP 101 Computer Information Literacy,Biology,No,No,Yes,No,No,4.0,Woman,White/Caucasian,21-24,
63,63,2020/09/14 10:17:29 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,Yes,No,No,No,No,4.0,Man,Hispanic or Latino,19-20,
64,64,2020/09/15 9:42:37 AM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,No,No,1.0,Woman,White/Caucasian,19-20,
65,65,2020/09/15 11:11:35 AM EST,CMP 135 Computer Concepts with Applications,Music Technology,Don't recall,Don't recall,Yes,Yes,No,5.0,Man,White/Caucasian,19-20,
66,66,2020/09/15 11:20:44 AM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,Don't recall,Don't recall,Don't recall,No,2.0,Woman,White/Caucasian,19-20,
67,67,2020/09/15 11:22:04 AM EST,CMP 135 Computer Concepts with Applications,Culinary Arts and Science ,No,No,No,No,No,4.0,Woman,White/Caucasian,19-20,
68,68,2020/09/15 11:34:10 AM EST,CMP 101 Computer Information Literacy,Criminal Justice,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,2.0,Man,White/Caucasian,19-20,
69,69,2020/09/15 12:02:14 PM EST,CMP 101 Computer Information Literacy,fashion design  ,No,No,No,Yes,No,3.0,Woman,Black/African American,25-34,
70,70,2020/09/15 12:26:04 PM EST,CMP 101 Computer Information Literacy,Not in a degree program,No,No,No,No,No,1.0,Man,White/Caucasian,21-24,
71,71,2020/09/15 1:43:52 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,Yes,No,1.0,Man,White/Caucasian,21-24,
72,72,2020/09/15 1:51:30 PM EST,CMP 135 Computer Concepts with Applications,Exercise Science,No,No,No,Yes,No,1.0,Woman,White/Caucasian,25-34,
73,73,2020/09/15 2:07:02 PM EST,CMP 126 Computer Technology and Applications,Communication,No,No,No,No,No,1.0,Woman,White/Caucasian,21-24,
74,74,2020/09/15 3:23:47 PM EST,CMP 135 Computer Concepts with Applications,Mathematics,No,No,Yes,Yes,No,2.0,Woman,White/Caucasian,19-20,
75,75,2020/09/15 4:05:32 PM EST,CMP 126 Computer Technology and Applications,Human Services,No,No,No,Yes,No,2.0,Woman,White/Caucasian,21-24,
76,76,2020/09/15 4:20:03 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,Yes,No,1.0,Woman,White/Caucasian,18 and younger,
77,77,2020/09/15 8:44:10 PM EST,CMP 135 Computer Concepts with Applications,Early Childhood Education,No,No,No,No,No,1.0,Woman,White/Caucasian,19-20,
78,78,2020/09/15 9:46:52 PM EST,CMP 135 Computer Concepts with Applications,Radiography,No,No,No,No,No,3.0,Woman,White/Caucasian,21-24,
79,79,2020/09/16 1:11:49 AM EST,CMP 135 Computer Concepts with Applications,Radiography;Nursing,No,No,No,No,No,4.0,Woman,White/Caucasian,35-64,
80,80,2020/09/16 2:45:08 PM EST,CMP 135 Computer Concepts with Applications,Physical Education ,No,No,Yes,Yes,No,1.0,Woman,White/Caucasian,18 and younger,
81,81,2020/09/16 3:45:31 PM EST,CMP 135 Computer Concepts with Applications,Public Health,Don't recall,Don't recall,Don't recall,Yes,Don't recall,2.0,Woman,White/Caucasian,19-20,
82,82,2020/09/16 4:38:34 PM EST,CMP 126 Computer Technology and Applications,Child and Family Studies,No,No,No,Yes,No,2.0,Woman,Hispanic or Latino,21-24,
83,83,2020/09/16 7:10:19 PM EST,CMP 135 Computer Concepts with Applications,Exercise Science,No,No,No,Yes,No,3.0,Woman,White/Caucasian,35-64,
84,84,2020/09/17 5:05:03 PM EST,CMP 135 Computer Concepts with Applications,Exercise Science,No,No,Don't recall,Yes,No,1.0,Woman,White/Caucasian,19-20,
85,85,2020/09/17 5:10:06 PM EST,CMP 135 Computer Concepts with Applications,Exercise Science,No,No,No,Yes,No,1.0,Woman,White/Caucasian,19-20,
86,86,2020/09/17 5:11:59 PM EST,CMP 126 Computer Technology and Applications,Criminal Justice,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,4.0,Man,White/Caucasian,65+,
87,87,2020/09/18 11:03:02 AM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,No,No,3.0,Man,Hispanic or Latino,19-20,
88,88,2020/09/18 4:15:34 PM EST,CMP 135 Computer Concepts with Applications,Radiography,No,Don't recall,Don't recall,Yes,No,3.0,Woman,Hispanic or Latino,21-24,
89,89,2020/09/19 7:53:37 PM EST,CMP 126 Computer Technology and Applications,Culinary arts and science ,No,No,No,No,No,2.0,Woman,White/Caucasian,19-20,
90,90,2020/09/19 10:19:13 PM EST,CMP 101 Computer Information Literacy,Nursing,No,No,No,No,No,1.0,Woman,White/Caucasian,35-64,
91,91,2020/09/20 9:47:05 AM EST,CMP 126 Computer Technology and Applications,Broadcasting Arts and Technology,No,Yes,Yes,Yes,No,2.0,Man,White/Caucasian,21-24,
92,92,2020/09/20 1:41:15 PM EST,CMP 135 Computer Concepts with Applications,Radiography,Yes,Don't recall,Yes,Yes,No,1.0,Woman,Multi-Racial,19-20,
93,93,2020/09/20 4:53:42 PM EST,CMP 101 Computer Information Literacy,Biology,No,Yes,Yes,No,No,4.0,Woman,White/Caucasian,21-24,
94,94,2020/09/20 5:57:19 PM EST,CMP 135 Computer Concepts with Applications,Radiography,No,No,No,No,No,1.0,Woman,Hispanic or Latino,19-20,
95,95,2020/09/20 10:35:45 PM EST,CMP 126 Computer Technology and Applications,Journalism,No,No,Yes,Yes,No,2.0,Woman,White/Caucasian,19-20,
96,96,2020/09/20 11:00:38 PM EST,CMP 126 Computer Technology and Applications,Criminal Justice,Don't recall,No,No,Don't recall,No,1.0,Man,Multi-racial,19-20,
97,97,2020/09/20 11:21:11 PM EST,CMP 101 Computer Information Literacy,Nursing,No,No,Yes,Yes,No,1.0,Prefer not to say,Choose not to reply,19-20,
98,98,2020/09/20 11:27:33 PM EST,CMP 101 Computer Information Literacy,Nursing,No,No,Yes,Yes,Don't recall,1.0,Prefer not to say,Choose not to reply,19-20,
99,99,2020/09/21 5:52:41 AM EST,CMP 126 Computer Technology and Applications,Not in a degree program,Yes,No,No,No,No,3.0,Woman,White/Caucasian,18 and younger,
100,100,2020/09/21 8:20:33 AM EST,CMP 101 Computer Information Literacy,Nursing,No,No,No,No,No,2.0,Woman,White/Caucasian,25-34,
101,101,2020/09/21 8:21:10 AM EST,CMP 101 Computer Information Literacy,Nursing,No,No,No,No,No,2.0,Woman,White/Caucasian,25-34,
102,102,2020/09/21 8:55:06 AM EST,CMP 101 Computer Information Literacy,Nursing,No,No,No,No,No,1.0,Woman,White/Caucasian,21-24,
103,103,2020/09/21 9:26:32 AM EST,CMP 126 Computer Technology and Applications,Not in a degree program,No,Don't recall,Don't recall,No,No,3.0,Prefer not to say,Choose not to reply,25-34,
104,104,2020/09/21 9:43:32 AM EST,CMP 126 Computer Technology and Applications,Business Administration,No,Yes,No,No,No,2.0,Man,White/Caucasian,19-20,
105,105,2020/09/21 10:08:31 AM EST,CMP 126 Computer Technology and Applications,Criminal Justice,Don't recall,Yes,Yes,No,No,2.0,Woman,White/Caucasian,18 and younger,
106,106,2020/09/21 10:08:46 AM EST,CMP 126 Computer Technology and Applications,Criminal Justice,Don't recall,Yes,Yes,No,No,2.0,Woman,White/Caucasian,18 and younger,
107,107,2020/09/21 1:09:00 PM EST,CMP 135 Computer Concepts with Applications,Nursing,No,No,Yes,No,No,1.0,Man,Hispanic or Latino,21-24,
108,108,2020/09/21 1:19:38 PM EST,CMP 126 Computer Technology and Applications,Criminal Justice,No,No,No,No,No,4.0,Man,Multi-Racial,19-20,
109,109,2020/09/21 3:02:25 PM EST,CMP 135 Computer Concepts with Applications,Radiography,No,Don't recall,No,Yes,No,1.0,Woman,White/Caucasian,21-24,
110,110,2020/09/21 5:16:27 PM EST,CMP 135 Computer Concepts with Applications,Radiography,No,No,Yes,Yes,No,3.0,Woman,White/Caucasian,21-24,
111,111,2020/09/21 6:07:01 PM EST,CMP 126 Computer Technology and Applications,Early Childhood Education;Child and Family Studies,Don't recall,Don't recall,No,No,Don't recall,4.0,Woman,Hispanic or Latino,21-24,
112,112,2020/09/21 6:18:00 PM EST,CMP 135 Computer Concepts with Applications,Public Health,No,No,No,Yes,No,2.0,Woman,Multi-racial,19-20,
113,113,2020/09/21 7:13:07 PM EST,CMP 101 Computer Information Literacy,Radiography,No,No,Yes,Yes,No,3.0,Woman,Hispanic or Latino,21-24,
114,114,2020/09/21 7:14:28 PM EST,CMP 135 Computer Concepts with Applications,Exercise Science,No,No,No,No,No,3.0,Man,White/Caucasian,19-20,
115,115,2020/09/21 7:20:16 PM EST,CMP 135 Computer Concepts with Applications,Radiography,No,Yes,Yes,No,No,3.0,Man,White/Caucasian,19-20,
116,116,2020/09/21 7:27:02 PM EST,CMP 101 Computer Information Literacy,Criminal Justice,No,No,No,No,No,1.0,Man,White/Caucasian,21-24,
117,117,2020/09/21 7:30:20 PM EST,CMP 135 Computer Concepts with Applications,Early Childhood Education,No,No,No,No,No,2.0,Woman,White/Caucasian,19-20,
118,118,2020/09/21 7:32:35 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,Yes,No,No,No,No,3.0,Woman,Hispanic or Latino,19-20,
119,119,2020/09/21 7:32:38 PM EST,CMP 135 Computer Concepts with Applications,Music Technology,No,No,No,No,No,3.0,Man,Multi-racial,19-20,
120,120,2020/09/21 7:32:46 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,No,No,4.0,Woman,Multi-racial,21-24,
121,121,2020/09/21 7:33:26 PM EST,CMP 135 Computer Concepts with Applications,biology,No,No,No,Yes,No,4.0,Woman,Black/African American,19-20,
122,122,2020/09/21 7:33:58 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,Yes,Yes,Yes,No,3.0,Woman,White/Caucasian,21-24,
123,123,2020/09/21 7:34:03 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,No,No,4.0,Woman,White/Caucasian,19-20,
124,124,2020/09/21 7:34:23 PM EST,CMP 135 Computer Concepts with Applications,Early Childhood Education,No,No,No,No,No,2.0,Woman,White/Caucasian,25-34,
125,125,2020/09/21 7:34:33 PM EST,CMP 135 Computer Concepts with Applications,Nursing,No,No,Yes,Yes,No,3.0,Woman,Black/African American,35-64,
126,126,2020/09/21 7:35:05 PM EST,CMP 135 Computer Concepts with Applications,Exercise Science,No,No,No,Yes,No,3.0,Man,White/Caucasian,25-34,
127,127,2020/09/21 7:38:01 PM EST,CMP 135 Computer Concepts with Applications,Nursing,No,No,Yes,Yes,No,3.0,Woman,Black/African American,35-64,
128,128,2020/09/21 7:41:36 PM EST,CMP 135 Computer Concepts with Applications,Exercise Science,Don't recall,Don't recall,Don't recall,Yes,Don't recall,5.0,Woman,Hispanic or Latino,19-20,
129,129,2020/09/21 7:42:29 PM EST,CMP 135 Computer Concepts with Applications,Music Technology,No,No,Yes,No,No,2.0,Woman,Asian,21-24,
130,130,2020/09/21 8:27:53 PM EST,CMP 135 Computer Concepts with Applications,Early Childhood Education,Yes,No,Yes,Yes,No,3.0,Woman,White/Caucasian,18 and younger,
131,131,2020/09/21 8:33:21 PM EST,CMP 126 Computer Technology and Applications,Liberal Arts,No,Yes,No,Yes,No,3.0,Man,Hispanic or Latino,19-20,
132,132,2020/09/22 1:48:11 AM EST,CMP 135 Computer Concepts with Applications,Exercise Science,Yes,No,No,No,No,3.0,Man,White/Caucasian,25-34,
133,133,2020/09/22 6:12:00 AM EST,CMP 126 Computer Technology and Applications,Criminal Justice,Don't recall,Yes,Yes,No,No,2.0,Woman,White/Caucasian,18 and younger,
134,134,2020/09/22 8:21:51 AM EST,CMP 135 Computer Concepts with Applications,Radiography,No,No,Yes,No,No,2.0,Woman,White/Caucasian,25-34,
135,135,2020/09/22 10:10:21 AM EST,CMP 126 Computer Technology and Applications,Not in a degree program,No,Yes,No,No,No,3.0,Man,White/Caucasian,19-20,
136,136,2020/09/22 10:10:30 AM EST,CMP 126 Computer Technology and Applications,Biology,No,No,No,No,No,2.0,Man,White/Caucasian,19-20,
137,137,2020/09/22 10:10:42 AM EST,CMP 126 Computer Technology and Applications,Child and Family Studies,No,No,Don't recall,No,No,2.0,Woman,Multi-Racial,19-20,
138,138,2020/09/22 10:11:26 AM EST,CMP 126 Computer Technology and Applications,liberal arts,No,Yes,Yes,Yes,No,2.0,Woman,White/Caucasian,19-20,
139,139,2020/09/22 10:11:41 AM EST,CMP 126 Computer Technology and Applications,Not in a degree program,No,No,No,Yes,No,1.0,Man,White/Caucasian,19-20,
140,140,2020/09/22 10:12:05 AM EST,CMP 126 Computer Technology and Applications,Psychology,No,Yes,Yes,Don't recall,No,2.0,Woman,White/Caucasian,19-20,
141,141,2020/09/22 10:12:05 AM EST,CMP 126 Computer Technology and Applications,Early Childhood Education,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,2.0,Woman,White/Caucasian,25-34,
142,142,2020/09/22 10:12:21 AM EST,CMP 126 Computer Technology and Applications,Music Performance,No,No,No,Yes,No,3.0,Man,Multi-racial,21-24,
143,143,2020/09/22 10:12:24 AM EST,CMP 126 Computer Technology and Applications,Communication,No,No,Yes,No,No,3.0,Man,Hispanic or Latino,19-20,
144,144,2020/09/22 10:12:25 AM EST,CMP 126 Computer Technology and Applications,Broadcasting Arts and Technology,No,No,No,No,No,4.0,Woman,White/Caucasian,19-20,
145,145,2020/09/22 10:13:10 AM EST,CMP 126 Computer Technology and Applications,Communication,No,No,No,Yes,No,4.0,Man,Hispanic or Latino,21-24,
146,146,2020/09/22 10:16:38 AM EST,CMP 126 Computer Technology and Applications,Thinking of Biology and Engineering.,No,No,No,No,No,4.0,Man,Hispanic or Latino,19-20,
147,147,2020/09/22 10:18:15 AM EST,CMP 126 Computer Technology and Applications,Liberal arts,No,No,Yes,Yes,No,1.0,Man,Choose not to reply,21-24,
148,148,2020/09/22 11:17:43 AM EST,CMP 126 Computer Technology and Applications,Nursing,Don't recall,No,No,No,No,1.0,Woman,Black/African American,35-64,
149,149,2020/09/22 1:33:18 PM EST,CMP 135 Computer Concepts with Applications,Mathematics and Financial,Don't recall,Yes,No,Don't recall,No,4.0,Man,Multi-racial,18 and younger,
150,150,2020/09/22 4:04:49 PM EST,CMP 126 Computer Technology and Applications,Liberal Arts,No,No,No,Yes,No,1.0,Man,White/Caucasian,21-24,
151,151,2020/09/22 9:27:45 PM EST,CMP 101 Computer Information Literacy,Nursing,No,No,No,No,No,2.0,Woman,Hispanic or Latino,25-34,
152,152,2020/09/23 8:46:06 AM EST,CMP 135 Computer Concepts with Applications,Radiography,No,No,No,Yes,No,2.0,Woman,White/Caucasian,18 and younger,
153,153,2020/09/23 8:46:15 AM EST,CMP 135 Computer Concepts with Applications,Liberal Arts,No,Don't recall,No,No,No,2.0,Woman,Multi-racial,18 and younger,
154,154,2020/09/23 8:46:52 AM EST,CMP 135 Computer Concepts with Applications,Early Childhood Education,No,Yes,No,No,No,3.0,Woman,Hispanic or Latino,19-20,
155,155,2020/09/23 8:47:20 AM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,No,No,3.0,Woman,Hispanic or Latino,19-20,
156,156,2020/09/23 8:47:56 AM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,Yes,No,2.0,Woman,White/Caucasian,19-20,
157,157,2020/09/23 8:47:59 AM EST,CMP 135 Computer Concepts with Applications,Music Technology,No,No,No,No,No,1.0,Man,Hispanic or Latino,21-24,
158,158,2020/09/23 8:48:06 AM EST,CMP 135 Computer Concepts with Applications,Nursing,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,1.0,Woman,White/Caucasian,19-20,
159,159,2020/09/23 8:48:11 AM EST,CMP 135 Computer Concepts with Applications,Radiography,No,No,No,No,No,3.0,Woman,Asian,21-24,
160,160,2020/09/23 8:48:29 AM EST,CMP 135 Computer Concepts with Applications,Liberal Arts,No,No,Yes,Yes,No,2.0,Man,Black/African American,18 and younger,
161,161,2020/09/23 8:49:01 AM EST,CMP 135 Computer Concepts with Applications,Child and Family Studies,No,No,No,Yes,No,1.0,Woman,White/Caucasian,19-20,
162,162,2020/09/23 8:50:16 AM EST,CMP 135 Computer Concepts with Applications,Music Technology,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,3.0,Man,White/Caucasian,18 and younger,
163,163,2020/09/23 8:50:59 AM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,Yes,No,1.0,I do not identify,White/Caucasian,19-20,
164,164,2020/09/23 8:52:53 AM EST,CMP 135 Computer Concepts with Applications,humanities ,No,No,Yes,Yes,No,5.0,Man,Hispanic or Latino,18 and younger,
165,165,2020/09/23 10:30:36 AM EST,CMP 126 Computer Technology and Applications,Liberal Arts,No,No,No,No,No,3.0,Man,Asian,19-20,
166,166,2020/09/23 11:03:29 AM EST,CMP 126 Computer Technology and Applications,Public Health,No,Don't recall,Don't recall,No,No,3.0,Woman,White/Caucasian,19-20,
167,167,2020/09/23 11:27:49 AM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,Yes,Don't recall,Don't recall,No,1.0,Man,White/Caucasian,19-20,
